Freq.	V(vout)
2.44000000000000e+02,-1.22633190452139e+01
2.49683490116504e+02,-1.20634422187060e+01
2.55499365724419e+02,-1.18635711934439e+01
2.61450710477976e+02,-1.16637062424685e+01
2.67540679858937e+02,-1.14638476516588e+01
2.73772502849679e+02,-1.12639957203240e+01
2.80149483645239e+02,-1.10641507618414e+01
2.86675003405245e+02,-1.08643131043091e+01
2.93352522046649e+02,-1.06644830912394e+01
3.00185580078221e+02,-1.04646610822777e+01
3.07177800477777e+02,-1.02648474539584e+01
3.14332890613125e+02,-1.00650426004958e+01
3.21654644207763e+02,-9.86524693461061e+00
3.29146943352364e+02,-9.66546088839289e+00
3.36813760563104e+02,-9.46568491421284e+00
3.44659160887952e+02,-9.26591948566218e+00
3.52687304062006e+02,-9.06616509854705e+00
3.60902446713043e+02,-8.86642227192717e+00
3.69308944618435e+02,-8.66669154919663e+00
3.77911255014645e+02,-8.46697349922314e+00
3.86713938960512e+02,-8.26726871753158e+00
3.95721663755579e+02,-8.06757782754759e+00
4.04939205414765e+02,-7.86790148189521e+00
4.14371451200666e+02,-7.66824036375827e+00
4.24023402214848e+02,-7.46859518829773e+00
4.33900176049497e+02,-7.26896670414070e+00
4.44007009500836e+02,-7.06935569493283e+00
4.54349261345740e+02,-6.86976298096473e+00
4.64932415183032e+02,-6.67018942086968e+00
4.75762082340963e+02,-6.47063591340310e+00
4.86844004852406e+02,-6.27110339929770e+00
4.98184058499365e+02,-6.07159286320632e+00
5.09788255928385e+02,-5.87210533573235e+00
5.21662749838544e+02,-5.67264189555182e+00
5.33813836243691e+02,-5.47320367162987e+00
5.46247957810675e+02,-5.27379184553983e+00
5.58971707275336e+02,-5.07440765388520e+00
5.71991830938061e+02,-4.87505239082888e+00
5.85315232240755e+02,-4.67572741073784e+00
5.98948975427147e+02,-4.47643413094531e+00
6.12900289288337e+02,-4.27717403463608e+00
6.27176570995602e+02,-4.07794867385719e+00
6.41785390022473e+02,-3.87875967266694e+00
6.56734492158167e+02,-3.67960873042035e+00
6.72031803614512e+02,-3.48049762519308e+00
6.87685435228526e+02,-3.28142821736966e+00
7.03703686762891e+02,-3.08240245337509e+00
7.20095051306597e+02,-2.88342236957239e+00
7.36868219778091e+02,-2.68449009633698e+00
7.54032085533315e+02,-2.48560786229071e+00
7.71595749081084e+02,-2.28677799873617e+00
7.89568522908292e+02,-2.08800294426659e+00
8.07959936417522e+02,-1.88928524957835e+00
8.26779740979654e+02,-1.69062758248462e+00
8.46037915104176e+02,-1.49203273314458e+00
8.65744669729923e+02,-1.29350361950312e+00
8.85910453639046e+02,-1.09504329296336e+00
9.06545958997100e+02,-8.96654944292328e-01
9.27662127022168e+02,-6.98341909767022e-01
9.49270153786044e+02,-5.00107677572919e-01
9.71381496150532e+02,-3.01955894455748e-01
9.94007877842034e+02,-1.03890372647313e-01
1.01716129566762e+03,9.40849029375999e-02
1.04085402587588e+03,2.91965767226073e-01
1.06509863066600e+03,4.89747867209081e-01
1.08990796484835e+03,6.87426653877700e-01
1.11529518266029e+03,8.84997373838295e-01
1.14127374474076e+03,1.08245506062657e+00
1.16785742526724e+03,1.27979452568633e+00
1.19506031925901e+03,1.47701034902591e+00
1.22289685005054e+03,1.67409686953073e+00
1.25138177693893e+03,1.87104817494222e+00
1.28053020300944e+03,2.06785809147181e+00
1.31035758314342e+03,2.26452017307184e+00
1.34087973221260e+03,2.46102769034050e+00
1.37211283346445e+03,2.65737361905802e+00
1.40407344710266e+03,2.85355062836314e+00
1.43677851906764e+03,3.04955106855140e+00
1.47024539002143e+03,3.24536695850183e+00
1.50449180454201e+03,3.44098997273523e+00
1.53953592053167e+03,3.63641142809996e+00
1.57539631884456e+03,3.83162227008907e+00
1.61209201313853e+03,4.02661305879414e+00
1.64964245995643e+03,4.22137395450419e+00
1.68806756904220e+03,4.41589470295310e+00
1.72738771389729e+03,4.61016462024164e+00
1.76762374258297e+03,4.80417257741507e+00
1.80879698877424e+03,4.99790698476243e+00
1.85092928307121e+03,5.19135577580179e+00
1.89404296457400e+03,5.38450639102325e+00
1.93816089272724e+03,5.57734576138022e+00
1.98330645944040e+03,5.76986029158577e+00
2.02950360149051e+03,5.96203584322540e+00
2.07677681321379e+03,6.15385771774742e+00
2.12515115949283e+03,6.34531063935858e+00
2.17465228904634e+03,6.53637873788683e+00
2.22530644802842e+03,6.72704553165282e+00
2.27714049394465e+03,6.91729391042727e+00
2.33018190989230e+03,7.10710611852033e+00
2.38445881913217e+03,7.29646373810612e+00
2.44000000000000e+03,7.48534767282807e+00
2.49683490116504e+03,7.67373813180095e+00
2.55499365724419e+03,7.86161461409337e+00
2.61450710477975e+03,8.04895589378830e+00
2.67540679858937e+03,8.23574000575261e+00
2.73772502849678e+03,8.42194423220426e+00
2.80149483645239e+03,8.60754509023461e+00
2.86675003405245e+03,8.79251832040485e+00
2.93352522046648e+03,8.97683887656697e+00
3.00185580078220e+03,9.16048091705757e+00
3.07177800477776e+03,9.34341779743107e+00
3.14332890613124e+03,9.52562206489621e+00
3.21654644207763e+03,9.70706545464091e+00
3.29146943352363e+03,9.88771888821441e+00
3.36813760563103e+03,1.00675524741734e+01
3.44659160887951e+03,1.02465355111779e+01
3.52687304062005e+03,1.04246364937353e+01
3.60902446713042e+03,1.06018231208127e+01
3.69308944618434e+03,1.07780623074978e+01
3.77911255014644e+03,1.09533201999384e+01
3.86713938960511e+03,1.11275621937574e+01
3.95721663755578e+03,1.13007529561432e+01
4.04939205414764e+03,1.14728564518183e+01
